opdb_id_,first_five,is_machine,name,common_name,shortname,physical_machine,ipdb_id,manufacture_date,year_,type,display,player_count,features,keywords,manufacturer_name,manufacturer_full_name,title,images_type,urls_medium,urls_large,urls_small,sizes_medium_width,sizes_medium_height,sizes_large_width,sizes_large_height,sizes_small_width,sizes_small_height,opdb_id,group_name
G50L9-MDxXD,G50L9,True,Challenger,,,1,483,1971-03-01,1971,em,reels,2,Head-to-head play ,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/46a61cc7-8a85-4483-bc7c-d42251419868-medium.jpg,https://img.opdb.org/46a61cc7-8a85-4483-bc7c-d42251419868-large.jpg,https://img.opdb.org/46a61cc7-8a85-4483-bc7c-d42251419868-small.jpg,640,445,640,445,250,174,G50L9,Challenger
G4xlK-MDEKL,G4xlK,True,Free Fall,,,1,949,1974-10-01,1974,em,reels,1,Add-a-ball ,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/0cc8604e-bc3b-4c7a-8e7b-6974ef4fcb41-medium.jpg,https://img.opdb.org/0cc8604e-bc3b-4c7a-8e7b-6974ef4fcb41-large.jpg,https://img.opdb.org/0cc8604e-bc3b-4c7a-8e7b-6974ef4fcb41-small.jpg,456,431,456,431,250,236,G4xlK,Sky Jump / Free Fall
GRnX6-MQk8L,GRnX6,True,Space Mission,,,1,2253,1976-01-01,1976,em,reels,4,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/e2769367-093e-4369-8273-a1919b50e261-medium.jpg,https://img.opdb.org/e2769367-093e-4369-8273-a1919b50e261-large.jpg,https://img.opdb.org/e2769367-093e-4369-8273-a1919b50e261-small.jpg,640,459,836,600,250,179,GRnX6,Space Mission / Space Odyssey
GRpKY-MDlYQ,GRpKY,True,Groovy,,,1,1091,1970-07-01,1970,em,reels,4,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/3368c32f-1a75-4588-9d13-67a0edf075b9-medium.jpg,https://img.opdb.org/3368c32f-1a75-4588-9d13-67a0edf075b9-large.jpg,https://img.opdb.org/3368c32f-1a75-4588-9d13-67a0edf075b9-small.jpg,400,393,400,393,250,246,GRpKY,Groovy / Crescendo
G5QBX-MQd1L,G5QBX,True,Big Ben,,,1,231,1954-05-01,1954,em,lights,1,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/04ce594a-6b9f-4968-8c80-7bb814494a43-medium.jpg,https://img.opdb.org/04ce594a-6b9f-4968-8c80-7bb814494a43-large.jpg,https://img.opdb.org/04ce594a-6b9f-4968-8c80-7bb814494a43-small.jpg,640,480,800,600,250,188,G5QBX,Big Ben
GrEVb-MLOxJ,GrEVb,True,City Slicker,,,1,527,1987-03-01,1987,ss,alphanumeric,4,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/40ce2f98-2f34-41f0-85dc-293d7e487424-medium.jpg,https://img.opdb.org/40ce2f98-2f34-41f0-85dc-293d7e487424-large.jpg,https://img.opdb.org/40ce2f98-2f34-41f0-85dc-293d7e487424-small.jpg,630,600,630,600,250,238,GrEVb,City Slicker
G48JX-MJw3J,G48JX,True,Big Day,,,1,243,1964-08-01,1964,em,reels,4,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/907d24cd-4c8f-457b-8e43-15591f78485b-medium.jpg,https://img.opdb.org/907d24cd-4c8f-457b-8e43-15591f78485b-large.jpg,https://img.opdb.org/907d24cd-4c8f-457b-8e43-15591f78485b-small.jpg,640,506,769,608,250,198,G48JX,Big Day
G5728-MDbjD,G5728,True,Flash Gordon,,FG,1,874,1980-05-13,1980,ss,alphanumeric,4,,movie ,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/9ecf76df-e553-4641-97e6-a548d9d871a0-medium.jpg,https://img.opdb.org/9ecf76df-e553-4641-97e6-a548d9d871a0-large.jpg,https://img.opdb.org/9ecf76df-e553-4641-97e6-a548d9d871a0-small.jpg,640,585,656,600,250,229,G5728,Flash Gordon
GrZwo-MJNlQ,GrZwo,True,Surfer,,,1,2465,1976-10-01,1976,em,reels,2,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/f61f64be-3441-45e9-91e5-a84261fa58f8-medium.jpg,https://img.opdb.org/f61f64be-3441-45e9-91e5-a84261fa58f8-large.jpg,https://img.opdb.org/f61f64be-3441-45e9-91e5-a84261fa58f8-small.jpg,640,426,900,599,250,166,GrZwo,Surf Champ / Surfer
G4JZ4-ML0pL,G4JZ4,True,High Roller Casino,,HRC,1,4502,2001-01-01,2001,ss,dmd,4,,,Stern,"Stern Pinball, Inc.",Backglass,backglass,https://img.opdb.org/0ee443ec-62db-4d4c-ad07-7ba5fa00c6a5-medium.jpg,https://img.opdb.org/0ee443ec-62db-4d4c-ad07-7ba5fa00c6a5-large.jpg,https://img.opdb.org/0ee443ec-62db-4d4c-ad07-7ba5fa00c6a5-small.jpg,640,460,835,600,250,180,G4JZ4,High Roller Casino
GRKdD-MLnxD,GRKdD,True,The 4 Horsemen,,,1,933,1950-09-01,1950,em,lights,1,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/511bf0a1-48ac-43b7-88b6-1c19b171220a-medium.jpg,https://img.opdb.org/511bf0a1-48ac-43b7-88b6-1c19b171220a-large.jpg,https://img.opdb.org/511bf0a1-48ac-43b7-88b6-1c19b171220a-small.jpg,463,479,463,479,241,250,GRKdD,The 4 Horsemen
GRQ6d-MDRlL,GRQ6d,True,Sky·Line,,,1,3240,1965-01-01,1965,em,reels,1,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/3e25c72c-1e6f-48bb-b175-90a6ecb2ab37-medium.jpg,https://img.opdb.org/3e25c72c-1e6f-48bb-b175-90a6ecb2ab37-large.jpg,https://img.opdb.org/3e25c72c-1e6f-48bb-b175-90a6ecb2ab37-small.jpg,491,600,491,600,205,250,GRQ6d,Sky·Line
GRbWj-MD3RJ,GRbWj,True,Target Pool,,,1,2502,1969-06-01,1969,em,reels,1,Replay ,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/df4da97c-5e03-44dd-94c2-4378ed073441-medium.jpg,https://img.opdb.org/df4da97c-5e03-44dd-94c2-4378ed073441-large.jpg,https://img.opdb.org/df4da97c-5e03-44dd-94c2-4378ed073441-small.jpg,450,450,450,450,250,250,GRbWj,Target Pool / Mini Pool
G4qQj-MD8XD,G4qQj,True,Scorpion,,,1,2067,1980-07-01,1980,ss,alphanumeric,4,Widebody ,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/39dcb350-5d2a-4572-b809-54a2f32734dd-medium.jpg,https://img.opdb.org/39dcb350-5d2a-4572-b809-54a2f32734dd-large.jpg,https://img.opdb.org/39dcb350-5d2a-4572-b809-54a2f32734dd-small.jpg,640,600,640,600,250,234,G4qQj,Scorpion
GrqL6-MQ5Rn,GrqL6,True,Bank Shot,,,1,169,1976-03-01,1976,em,reels,1,Add-a-ball ,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/d154ca38-2fad-4698-9076-b66095552199-medium.jpg,https://img.opdb.org/d154ca38-2fad-4698-9076-b66095552199-large.jpg,https://img.opdb.org/d154ca38-2fad-4698-9076-b66095552199-small.jpg,450,600,450,600,188,250,GrqL6,Bank Shot / Sure Shot
GRYZK-MQp44,GRYZK,True,Vampire,,,1,2716,1971-01-01,1971,em,reels,2,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/94819457-e3be-490e-95bc-be86ac5810c5-medium.jpg,https://img.opdb.org/94819457-e3be-490e-95bc-be86ac5810c5-large.jpg,https://img.opdb.org/94819457-e3be-490e-95bc-be86ac5810c5-small.jpg,530,437,530,437,250,206,GRYZK,Vampire
GRoQ6-MLx0X,GRoQ6,True,Catacomb,,,1,469,1981-01-01,1981,ss,alphanumeric,4,,,Stern,"Stern Pinball, Inc.",Backglass,backglass,https://img.opdb.org/744d24e5-a68d-44b3-826b-cb94a282fa65-medium.jpg,https://img.opdb.org/744d24e5-a68d-44b3-826b-cb94a282fa65-large.jpg,https://img.opdb.org/744d24e5-a68d-44b3-826b-cb94a282fa65-small.jpg,640,479,801,600,250,187,GRoQ6,Catacomb
G5WoB-MDyNZ,G5WoB,True,The Sopranos,,,1,5053,2005-01-12,2005,ss,dmd,4,,tv ,Stern,"Stern Pinball, Inc.",Backglass,backglass,https://img.opdb.org/5abbc2db-812a-41b7-a060-2c1cfc1ed768-medium.jpg,https://img.opdb.org/5abbc2db-812a-41b7-a060-2c1cfc1ed768-large.jpg,https://img.opdb.org/5abbc2db-812a-41b7-a060-2c1cfc1ed768-small.jpg,640,456,842,600,250,178,G5WoB,The Sopranos
GRVL2-MLl9Y,GRVL2,True,Lady Robin Hood,,,1,1406,1948-01-31,1948,em,lights,1,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/8f14bd40-40f8-4d30-8523-374a4b0ac328-medium.jpg,https://img.opdb.org/8f14bd40-40f8-4d30-8523-374a4b0ac328-large.jpg,https://img.opdb.org/8f14bd40-40f8-4d30-8523-374a4b0ac328-small.jpg,640,630,802,790,250,246,GRVL2,Lady Robin Hood
G4EJB-MJdE1,G4EJB,True,Gulfstream,,,1,1094,1973-05-01,1973,em,reels,1,Replay ,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/7028a97e-efa9-4728-b2a4-e103ce5fd9dd-medium.jpg,https://img.opdb.org/7028a97e-efa9-4728-b2a4-e103ce5fd9dd-large.jpg,https://img.opdb.org/7028a97e-efa9-4728-b2a4-e103ce5fd9dd-small.jpg,327,367,327,367,222,250,G4EJB,Gulfstream / Tropic Fun
GrjDz-MJKN6,GrjDz,True,Corvette,,CRVT,1,570,1994-01-08,1994,ss,dmd,4,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/08407abb-cf73-4e09-a4ea-788781165f3c-medium.jpg,https://img.opdb.org/08407abb-cf73-4e09-a4ea-788781165f3c-large.jpg,https://img.opdb.org/08407abb-cf73-4e09-a4ea-788781165f3c-small.jpg,640,451,852,600,250,176,GrjDz,Corvette
GRDQ1-MDOEx,GRDQ1,True,Sheba,,,1,2115,1965-02-01,1965,em,reels,2,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/75a47234-b170-4a90-a260-4e056c4dca8c-medium.jpg,https://img.opdb.org/75a47234-b170-4a90-a260-4e056c4dca8c-large.jpg,https://img.opdb.org/75a47234-b170-4a90-a260-4e056c4dca8c-small.jpg,640,480,800,600,250,188,GRDQ1,Gator / Sheba / Campus Queen
GRojj-MQwN3,GRojj,True,Hayburners,,,1,1142,1951-06-01,1951,em,lights,1,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/cf460b22-71b3-4257-98e6-428468dbcf9f-medium.jpg,https://img.opdb.org/cf460b22-71b3-4257-98e6-428468dbcf9f-large.jpg,https://img.opdb.org/cf460b22-71b3-4257-98e6-428468dbcf9f-small.jpg,640,628,800,785,250,245,GRojj,Hayburners / Jalopy
G41Y6-MDePR,G41Y6,True,Flying Circus,,,1,902,1961-05-01,1961,em,reels,2,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/7242dcf7-d70a-4ee4-a21f-ba1e91563263-medium.jpg,https://img.opdb.org/7242dcf7-d70a-4ee4-a21f-ba1e91563263-large.jpg,https://img.opdb.org/7242dcf7-d70a-4ee4-a21f-ba1e91563263-small.jpg,553,449,553,449,250,203,G41Y6,Flying Circus
G5WEb-MJjBX,G5WEb,True,Register,,,1,1942,1956-10-01,1956,em,reels,4,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/dbee4c36-dc32-4d57-8522-c9e14bdc1233-medium.jpg,https://img.opdb.org/dbee4c36-dc32-4d57-8522-c9e14bdc1233-large.jpg,https://img.opdb.org/dbee4c36-dc32-4d57-8522-c9e14bdc1233-small.jpg,640,480,800,600,250,188,G5WEb,Register
G5KJW-MDnKx,G5KJW,True,Circus,,,1,520,1957-07-01,1957,em,reels,1,Widebody ,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/fb022416-7aa0-4064-82bb-681b15f807a9-medium.jpg,https://img.opdb.org/fb022416-7aa0-4064-82bb-681b15f807a9-large.jpg,https://img.opdb.org/fb022416-7aa0-4064-82bb-681b15f807a9-small.jpg,500,433,500,433,250,217,G5KJW,Balls-A-Poppin / Circus
GRVEJ-MDq1w,GRVEJ,True,Dr. Dude And His Excellent Ray,,DRD,1,737,1990-01-01,1990,ss,alphanumeric,4,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/af154504-2df7-411a-8a63-2f28fce4ae08-medium.jpg,https://img.opdb.org/af154504-2df7-411a-8a63-2f28fce4ae08-large.jpg,https://img.opdb.org/af154504-2df7-411a-8a63-2f28fce4ae08-small.jpg,640,511,752,600,250,199,GRVEJ,Dr. Dude And His Excellent Ray
G5VWL-MLRjl,G5VWL,True,Nugent,,,1,1687,1978-01-01,1978,ss,alphanumeric,4,,music ,Stern,"Stern Pinball, Inc.",Backglass,backglass,https://img.opdb.org/30759bbe-f19c-4010-9006-21050d22fd9c-medium.jpg,https://img.opdb.org/30759bbe-f19c-4010-9006-21050d22fd9c-large.jpg,https://img.opdb.org/30759bbe-f19c-4010-9006-21050d22fd9c-small.jpg,640,480,800,600,250,188,G5VWL,Nugent
G4qEl-MQrRE,G4qEl,True,Touchdown,,,1,2609,1967-11-01,1967,em,reels,1,Replay ,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/4a13804b-9bc4-4482-ae2d-b97dc5591a02-medium.jpg,https://img.opdb.org/4a13804b-9bc4-4482-ae2d-b97dc5591a02-large.jpg,https://img.opdb.org/4a13804b-9bc4-4482-ae2d-b97dc5591a02-small.jpg,640,480,800,600,250,188,G4qEl,Touchdown / Kickoff
G5bQq-MQ4ob,G5bQq,True,Panthera,,,1,1745,1980-06-01,1980,ss,alphanumeric,4,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/8221c759-6fb2-46eb-a06e-e31bb6afec83-medium.jpg,https://img.opdb.org/8221c759-6fb2-46eb-a06e-e31bb6afec83-large.jpg,https://img.opdb.org/8221c759-6fb2-46eb-a06e-e31bb6afec83-small.jpg,585,600,585,600,244,250,G5bQq,Panthera
G5oEz-MQ7Zw,G5oEz,True,Escape from the Lost World,,ELW,1,789,1988-01-01,1988,ss,alphanumeric,4,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/342a8208-1c55-4cf5-9bd5-a241eef73ba5-medium.jpg,https://img.opdb.org/342a8208-1c55-4cf5-9bd5-a241eef73ba5-large.jpg,https://img.opdb.org/342a8208-1c55-4cf5-9bd5-a241eef73ba5-small.jpg,412,343,412,343,250,208,G5oEz,Escape from the Lost World
G4Ne1-ML3dR,G4Ne1,True,Kings & Queens,,,1,1381,1965-03-01,1965,em,reels,1,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/18f49953-5e8c-4c5a-a3fc-1ceb5dcc156d-medium.jpg,https://img.opdb.org/18f49953-5e8c-4c5a-a3fc-1ceb5dcc156d-large.jpg,https://img.opdb.org/18f49953-5e8c-4c5a-a3fc-1ceb5dcc156d-small.jpg,482,586,482,586,206,250,G4Ne1,Kings & Queens
G41E2-ML85X,G41E2,True,Gridiron,,,1,1089,1977-12-01,1977,em,reels,2,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/7e43b332-4ade-4608-bebe-e05c71da8571-medium.jpg,https://img.opdb.org/7e43b332-4ade-4608-bebe-e05c71da8571-large.jpg,https://img.opdb.org/7e43b332-4ade-4608-bebe-e05c71da8571-small.jpg,579,600,579,600,241,250,G41E2,Gridiron / Pro-Football
G4xzV-MQZeV,G4xzV,True,Knockout,,,1,1392,1975-04-01,1975,em,reels,2,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/c9f80f84-902f-49e6-a8fc-ff04112669ab-medium.jpg,https://img.opdb.org/c9f80f84-902f-49e6-a8fc-ff04112669ab-large.jpg,https://img.opdb.org/c9f80f84-902f-49e6-a8fc-ff04112669ab-small.jpg,640,507,757,600,250,198,G4xzV,Knockout
GR63e-MJVKR,GR63e,True,Gypsy Queen,,,1,1104,1955-02-01,1955,em,lights,1,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/b496ecd8-a910-4f30-92f9-c9c74a2a095b-medium.jpg,https://img.opdb.org/b496ecd8-a910-4f30-92f9-c9c74a2a095b-large.jpg,https://img.opdb.org/b496ecd8-a910-4f30-92f9-c9c74a2a095b-small.jpg,455,495,455,495,230,250,GR63e,Gypsy Queen
GRwBN-MJ5ln,GRwBN,True,Hokus Pokus,,,1,1206,1975-04-09,1975,em,reels,2,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/9fc4b318-7c25-493d-8051-f91b79e3091f-medium.jpg,https://img.opdb.org/9fc4b318-7c25-493d-8051-f91b79e3091f-large.jpg,https://img.opdb.org/9fc4b318-7c25-493d-8051-f91b79e3091f-small.jpg,640,480,800,600,250,188,GRwBN,Hokus Pokus
G4O2b-MJpn4,G4O2b,True,Cyclone,,CYC,1,617,1988-02-01,1988,ss,alphanumeric,4,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/7ffa89ef-b71b-4034-b5fa-8b8aa289dfc1-medium.jpg,https://img.opdb.org/7ffa89ef-b71b-4034-b5fa-8b8aa289dfc1-large.jpg,https://img.opdb.org/7ffa89ef-b71b-4034-b5fa-8b8aa289dfc1-small.jpg,640,429,896,600,250,167,G4O2b,Cyclone
G5YWX-MDxXX,G5YWX,True,Grand Prix,,,1,5120,2005-06-29,2005,ss,dmd,4,Pro edition ,,Stern,"Stern Pinball, Inc.",Backglass,backglass,https://img.opdb.org/f97895db-92f4-40da-bbdc-45092da594b1-medium.jpg,https://img.opdb.org/f97895db-92f4-40da-bbdc-45092da594b1-large.jpg,https://img.opdb.org/f97895db-92f4-40da-bbdc-45092da594b1-small.jpg,640,474,810,600,250,185,G5YWX,Nascar
GredR-MDE2K,GredR,True,The Rolling Stones,,TRS,1,5668,2011-02-01,2011,ss,dmd,4,Pro edition ,music ,Stern,"Stern Pinball, Inc.",Backglass,backglass,https://img.opdb.org/faf1b05a-27f8-4ae3-bac5-b6653d62a7a0-medium.jpg,https://img.opdb.org/faf1b05a-27f8-4ae3-bac5-b6653d62a7a0-large.jpg,https://img.opdb.org/faf1b05a-27f8-4ae3-bac5-b6653d62a7a0-small.jpg,550,414,550,414,250,188,GredR,The Rolling Stones
GRnYX-MQk08,GRnYX,True,Ice-Revue,,,1,1262,1965-12-01,1965,em,reels,1,Replay ,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/ac44671b-df06-4ca3-9cb0-6300fba434d4-medium.jpg,https://img.opdb.org/ac44671b-df06-4ca3-9cb0-6300fba434d4-large.jpg,https://img.opdb.org/ac44671b-df06-4ca3-9cb0-6300fba434d4-small.jpg,575,640,575,640,225,250,GRnYX,Ice-Revue / Ice Show
G5W0z-MLW6N,G5W0z,True,Surf 'n Safari,,,1,2461,1991-01-01,1991,ss,alphanumeric,4,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/6b5e0718-b517-4efd-b582-80793a5ac6ac-medium.jpg,https://img.opdb.org/6b5e0718-b517-4efd-b582-80793a5ac6ac-large.jpg,https://img.opdb.org/6b5e0718-b517-4efd-b582-80793a5ac6ac-small.jpg,639,600,639,600,250,235,G5W0z,Surf 'n Safari
G4kw7-MDl0Y,G4kw7,True,Aloha,,,1,62,1961-11-01,1961,em,reels,2,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/9a9c03d6-6af6-43f9-ac9e-f2817a842a60-medium.jpg,https://img.opdb.org/9a9c03d6-6af6-43f9-ac9e-f2817a842a60-large.jpg,https://img.opdb.org/9a9c03d6-6af6-43f9-ac9e-f2817a842a60-small.jpg,453,385,453,385,250,212,G4kw7,Aloha
GRn8D-MQd21,GRn8D,True,Super Soccer,,,1,2443,1975-01-01,1975,em,reels,4,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/1243cd4a-4200-4354-b7bd-a01ee74a90f4-medium.jpg,https://img.opdb.org/1243cd4a-4200-4354-b7bd-a01ee74a90f4-large.jpg,https://img.opdb.org/1243cd4a-4200-4354-b7bd-a01ee74a90f4-small.jpg,640,620,650,630,250,242,GRn8D,Soccer / Super Soccer
G56P2-MQKR6,G56P2,True,Mibs,,,1,1589,1969-10-01,1969,em,reels,1,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/bb1a615a-fda7-40e2-b404-6021b5d2b7c6-medium.jpg,https://img.opdb.org/bb1a615a-fda7-40e2-b404-6021b5d2b7c6-large.jpg,https://img.opdb.org/bb1a615a-fda7-40e2-b404-6021b5d2b7c6-small.jpg,480,563,480,563,213,250,G56P2,Mibs
G48VE-MLebR,G48VE,True,Fan-Tas-Tic,,,1,820,1972-09-01,1972,em,reels,4,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/271725fa-4e3c-4aea-bbfb-8864c4ffea70-medium.jpg,https://img.opdb.org/271725fa-4e3c-4aea-bbfb-8864c4ffea70-large.jpg,https://img.opdb.org/271725fa-4e3c-4aea-bbfb-8864c4ffea70-small.jpg,640,548,799,684,250,214,G48VE,Fan-Tas-Tic
GRLq7-MQY6k,GRLq7,True,Shoot the Moon,,,1,2122,1951-11-01,1951,em,lights,1,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/a46d5d6a-22fd-41e2-8d3a-b906d48d5c89-medium.jpg,https://img.opdb.org/a46d5d6a-22fd-41e2-8d3a-b906d48d5c89-large.jpg,https://img.opdb.org/a46d5d6a-22fd-41e2-8d3a-b906d48d5c89-small.jpg,640,427,899,600,250,167,GRLq7,Shoot the Moon
GRw7z-MJN9l,GRw7z,True,Spectrum,,,1,2274,1982-08-01,1982,ss,alphanumeric,4,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/bddf0e86-0816-4252-9c53-84fce4fe4673-medium.jpg,https://img.opdb.org/bddf0e86-0816-4252-9c53-84fce4fe4673-large.jpg,https://img.opdb.org/bddf0e86-0816-4252-9c53-84fce4fe4673-small.jpg,640,560,659,577,250,219,GRw7z,Spectrum
G48nw-ML02p,G48nw,True,Galaxie,,,1,978,1971-01-01,1971,em,reels,1,Add-a-ball ,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/c846792b-77e0-4a66-bda7-bfa0f2dba160-medium.jpg,https://img.opdb.org/c846792b-77e0-4a66-bda7-bfa0f2dba160-large.jpg,https://img.opdb.org/c846792b-77e0-4a66-bda7-bfa0f2dba160-small.jpg,590,612,590,612,241,250,G48nw,2001 / Dimension
GRzow-MQjZX,GRzow,True,Rancho,,,1,1917,1966-08-01,1966,em,reels,1,Add-a-ball ,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/6a778960-612c-4cc5-9501-e1e75fae4a5d-medium.jpg,https://img.opdb.org/6a778960-612c-4cc5-9501-e1e75fae4a5d-large.jpg,https://img.opdb.org/6a778960-612c-4cc5-9501-e1e75fae4a5d-small.jpg,638,600,638,600,250,235,GRzow,Buckaroo / Cow Poke
GRvE1-MLnBx,GRvE1,True,Time Zone,,,1,2569,1973-05-01,1973,em,reels,2,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/b025eff9-3e2f-4667-b1e6-afab886bcff0-medium.jpg,https://img.opdb.org/b025eff9-3e2f-4667-b1e6-afab886bcff0-large.jpg,https://img.opdb.org/b025eff9-3e2f-4667-b1e6-afab886bcff0-small.jpg,640,574,640,574,250,224,GRvE1,Space Time / Time Zone
GR0KD-MJpnr,GR0KD,True,Trident,,,1,2644,1979-03-01,1979,ss,alphanumeric,4,,,Stern,"Stern Pinball, Inc.",Backglass,backglass,https://img.opdb.org/23ef77af-6d2a-4b0a-b7dc-b333c5652be9-medium.jpg,https://img.opdb.org/23ef77af-6d2a-4b0a-b7dc-b333c5652be9-large.jpg,https://img.opdb.org/23ef77af-6d2a-4b0a-b7dc-b333c5652be9-small.jpg,640,559,687,600,250,218,GR0KD,Trident
GRY0B-MJ9Z3,GRY0B,True,Lady Luck,,,1,1403,1954-08-01,1954,em,lights,4,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/81e98f53-79e6-43c9-825d-a430acb0c33d-medium.jpg,https://img.opdb.org/81e98f53-79e6-43c9-825d-a430acb0c33d-large.jpg,https://img.opdb.org/81e98f53-79e6-43c9-825d-a430acb0c33d-small.jpg,614,640,837,872,240,250,GRY0B,Lady Luck
GRBDj-MLBV6,GRBDj,True,Lunar Shot,,,1,1501,1967-08-01,1967,em,reels,1,Add-a-ball ,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/e82049ea-9308-44cd-9a82-e31f832041d0-medium.jpg,https://img.opdb.org/e82049ea-9308-44cd-9a82-e31f832041d0-large.jpg,https://img.opdb.org/e82049ea-9308-44cd-9a82-e31f832041d0-small.jpg,573,640,594,663,224,250,GRBDj,Apollo / Blast Off
GRnK7-MQk0V,GRnK7,True,Bowl-O,,,1,368,1970-04-01,1970,em,reels,1,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/fdb1e375-9e0d-4dcf-ba6f-dbf947146814-medium.jpg,https://img.opdb.org/fdb1e375-9e0d-4dcf-ba6f-dbf947146814-large.jpg,https://img.opdb.org/fdb1e375-9e0d-4dcf-ba6f-dbf947146814-small.jpg,571,640,627,703,223,250,GRnK7,Bowl-O
G5bv3-MLW68,G5bv3,True,Demolition Man,,DM,1,662,1994-02-01,1994,ss,dmd,4,Widebody ,movie ,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/e7f27c59-5cb2-4931-b254-91a45479d659-medium.jpg,https://img.opdb.org/e7f27c59-5cb2-4931-b254-91a45479d659-large.jpg,https://img.opdb.org/e7f27c59-5cb2-4931-b254-91a45479d659-small.jpg,640,433,886,600,250,169,G5bv3,Demolition Man
Gryq6-MDl0b,Gryq6,True,Caravelle,,,1,444,1961-02-01,1961,em,reels,4,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/4d7a7f31-b0db-4f5e-8a7e-ea9ac93a981d-medium.jpg,https://img.opdb.org/4d7a7f31-b0db-4f5e-8a7e-ea9ac93a981d-large.jpg,https://img.opdb.org/4d7a7f31-b0db-4f5e-8a7e-ea9ac93a981d-small.jpg,640,617,825,795,250,241,Gryq6,Caravelle
GrZex-MQKR0,GrZex,True,Big Strike,,,1,280,1966-08-01,1966,em,reels,1,Add-a-ball ,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/dfd5343e-bab8-4bf5-b959-f82cc246475f-medium.jpg,https://img.opdb.org/dfd5343e-bab8-4bf5-b959-f82cc246475f-large.jpg,https://img.opdb.org/dfd5343e-bab8-4bf5-b959-f82cc246475f-small.jpg,640,480,640,480,250,188,GrZex,Hot Line / Big Strike
