,opdb_id,is_machine,name,common_name,shortname,physical_machine,ipdb_id,manufacture_date,type,display,player_count,features,keywords,description,created_at,updated_at,manufacturer_id,manufacturer_name,manufacturer_full_name,manufacturer_created_at,manufacturer_updated_at,is_alias,title,primary,images_type,urls_medium,urls_large,urls_small,sizes_medium_width,sizes_medium_height,sizes_large_width,sizes_large_height,sizes_small_width,sizes_small_height
305,GR0Q1-MLzk1,True,Jolly Jokers,,,1.0,1312.0,1962-01-01,em,reels,1.0,Add-a-ball ,,,2018-03-11,2018-05-12,7,Williams,"Williams Electronic Games, Inc.",2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/2d5b31ab-c82c-4a31-9f4d-0f44c39f8119-medium.jpg,https://img.opdb.org/2d5b31ab-c82c-4a31-9f4d-0f44c39f8119-large.jpg,https://img.opdb.org/2d5b31ab-c82c-4a31-9f4d-0f44c39f8119-small.jpg,640.0,618.0,693.0,669.0,250.0,241.0
306,GrXKb-MQ4OY,True,Big Brave,,,1.0,234.0,1974-06-01,em,reels,2.0,,,,2018-03-11,2018-05-08,2,Gottlieb,D. Gottlieb & Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/b0338b43-d12c-4d4e-944b-b106dcebac81-medium.jpg,https://img.opdb.org/b0338b43-d12c-4d4e-944b-b106dcebac81-large.jpg,https://img.opdb.org/b0338b43-d12c-4d4e-944b-b106dcebac81-small.jpg,640.0,533.0,721.0,600.0,250.0,208.0
307,G4yLE-MQ7nd,True,Dyn O' Mite,,,1.0,750.0,1975-01-01,ss,alphanumeric,2.0,,,,2018-03-11,2018-05-02,49,Allied Leisure,"Allied Leisure Industries, Inc.",2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/eb2dabaf-8294-46e4-a9f7-56d5ce7917c2-medium.jpg,https://img.opdb.org/eb2dabaf-8294-46e4-a9f7-56d5ce7917c2-large.jpg,https://img.opdb.org/eb2dabaf-8294-46e4-a9f7-56d5ce7917c2-small.jpg,640.0,587.0,654.0,600.0,250.0,229.0
308,GRLDP-ML3Oq,True,West Club,,,1.0,3601.0,1967-06-01,em,reels,2.0,,,,2018-03-11,2018-05-10,36,Rally,Rally Play Company,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/5735da3e-7e80-43a3-90c6-a1cf09e0cd1c-medium.jpg,https://img.opdb.org/5735da3e-7e80-43a3-90c6-a1cf09e0cd1c-large.jpg,https://img.opdb.org/5735da3e-7e80-43a3-90c6-a1cf09e0cd1c-small.jpg,640.0,513.0,800.0,641.0,250.0,200.0
309,GrJPo-MDXVN,True,Big Hunt,,,1.0,3692.0,1976-01-01,ss,reels,1.0,,,,2018-03-11,2018-05-03,45,A.M.I.,A.M.I.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/fa1a4294-7d69-4c99-8da9-15d886effaaa-medium.jpg,https://img.opdb.org/fa1a4294-7d69-4c99-8da9-15d886effaaa-large.jpg,https://img.opdb.org/fa1a4294-7d69-4c99-8da9-15d886effaaa-small.jpg,234.0,300.0,234.0,300.0,195.0,250.0
310,GrEkZ-ML13O,True,24,,24,1.0,5419.0,2009-02-01,ss,dmd,4.0,,tv ,,2018-03-11,2018-03-18,12,Stern,"Stern Pinball, Inc.",2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/7bc7b517-08c6-48bd-a361-64ba701d8f2a-medium.jpg,https://img.opdb.org/7bc7b517-08c6-48bd-a361-64ba701d8f2a-large.jpg,https://img.opdb.org/7bc7b517-08c6-48bd-a361-64ba701d8f2a-small.jpg,640.0,482.0,796.0,600.0,250.0,188.0
311,GRBKZ-ML8Oe,True,Genie,,,1.0,997.0,1979-01-01,ss,alphanumeric,4.0,,,,2018-03-11,2018-04-01,2,Gottlieb,D. Gottlieb & Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/1499283b-58c9-4cf4-ac1f-11ea2ede6c1f-medium.jpg,https://img.opdb.org/1499283b-58c9-4cf4-ac1f-11ea2ede6c1f-large.jpg,https://img.opdb.org/1499283b-58c9-4cf4-ac1f-11ea2ede6c1f-small.jpg,640.0,587.0,654.0,600.0,250.0,229.0
312,G5LQ2-MQZ7p,True,Wild Wild West,,,1.0,2787.0,1969-08-01,em,reels,2.0,Replay ,,,2018-03-11,2018-05-08,2,Gottlieb,D. Gottlieb & Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/09ee2e4d-67d8-4287-a542-43da1203a512-medium.jpg,https://img.opdb.org/09ee2e4d-67d8-4287-a542-43da1203a512-large.jpg,https://img.opdb.org/09ee2e4d-67d8-4287-a542-43da1203a512-small.jpg,640.0,425.0,845.0,561.0,250.0,166.0
313,G56zB-MLv9k,True,Count-Down,,,1.0,573.0,1979-05-01,ss,alphanumeric,4.0,,,,2018-03-11,2018-04-21,2,Gottlieb,D. Gottlieb & Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/53d09b02-c41c-45f6-889d-98111c48045c-medium.jpg,https://img.opdb.org/53d09b02-c41c-45f6-889d-98111c48045c-large.jpg,https://img.opdb.org/53d09b02-c41c-45f6-889d-98111c48045c-small.jpg,616.0,600.0,616.0,600.0,250.0,244.0
314,G5nzJ-MJVX8,True,Strange Science,,SS,1.0,2396.0,1986-01-01,ss,alphanumeric,4.0,,,,2018-03-11,2018-04-01,8,Bally,Bally Manufacturing Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/050dd42a-00b7-48ac-afaa-2628061cc9c3-medium.jpg,https://img.opdb.org/050dd42a-00b7-48ac-afaa-2628061cc9c3-large.jpg,https://img.opdb.org/050dd42a-00b7-48ac-afaa-2628061cc9c3-small.jpg,640.0,523.0,882.0,721.0,250.0,204.0
315,GRBo3-MJ5O4,True,Big Ben,,,1.0,228.0,1975-01-01,em,reels,1.0,,,,2018-03-11,2018-05-07,15,Segasa,Segasa,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/9e75678d-9f78-4c2a-90c6-77f6335d4447-medium.jpg,https://img.opdb.org/9e75678d-9f78-4c2a-90c6-77f6335d4447-large.jpg,https://img.opdb.org/9e75678d-9f78-4c2a-90c6-77f6335d4447-small.jpg,393.0,453.0,393.0,453.0,217.0,250.0
316,GRVVb-MDxB4,True,Band Wagon,,,1.0,164.0,1955-05-01,em,reels,4.0,,,,2018-03-11,2018-05-13,7,Williams,"Williams Electronic Games, Inc.",2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/8a5a4466-822a-4d51-b15f-b95a72dac042-medium.jpg,https://img.opdb.org/8a5a4466-822a-4d51-b15f-b95a72dac042-large.jpg,https://img.opdb.org/8a5a4466-822a-4d51-b15f-b95a72dac042-small.jpg,469.0,476.0,469.0,476.0,246.0,250.0
317,GRQ79-MDE30,True,Stampede,,,1.0,5232.0,1977-02-01,em,reels,2.0,,,,2018-03-11,2018-03-25,12,Stern,"Stern Pinball, Inc.",2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/51e64da5-93ec-46e4-acc9-e3e6be608f16-medium.jpg,https://img.opdb.org/51e64da5-93ec-46e4-acc9-e3e6be608f16-large.jpg,https://img.opdb.org/51e64da5-93ec-46e4-acc9-e3e6be608f16-small.jpg,417.0,454.0,417.0,454.0,230.0,250.0
318,GRnPz-MLBzV,True,Transformers,,TF,1.0,5709.0,2011-11-01,ss,dmd,4.0,Pro edition ,movie ,,2018-03-11,2018-03-18,12,Stern,"Stern Pinball, Inc.",2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/9bcadc0c-9cff-456f-b6b2-7bd69a430e53-medium.jpg,https://img.opdb.org/9bcadc0c-9cff-456f-b6b2-7bd69a430e53-large.jpg,https://img.opdb.org/9bcadc0c-9cff-456f-b6b2-7bd69a430e53-small.jpg,600.0,449.0,600.0,449.0,250.0,187.0
319,GRVq4-MLyxq,True,Iron Man,,IM,1.0,5550.0,2010-04-30,ss,dmd,4.0,,movie ,,2018-03-11,2018-03-13,12,Stern,"Stern Pinball, Inc.",2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/4c7a3e69-43be-493f-ad51-3dcaa605d912-medium.jpg,https://img.opdb.org/4c7a3e69-43be-493f-ad51-3dcaa605d912-large.jpg,https://img.opdb.org/4c7a3e69-43be-493f-ad51-3dcaa605d912-small.jpg,640.0,492.0,780.0,600.0,250.0,192.0
320,GR7qv-MQk31,True,Big Foot,,BF,1.0,4345.0,1978-01-01,em,reels,2.0,Widebody ,,,2018-03-11,2018-04-25,8,Bally,Bally Manufacturing Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/58ac6eae-004e-44cd-b18e-be51e1529f48-medium.jpg,https://img.opdb.org/58ac6eae-004e-44cd-b18e-be51e1529f48-large.jpg,https://img.opdb.org/58ac6eae-004e-44cd-b18e-be51e1529f48-small.jpg,591.0,416.0,591.0,416.0,250.0,176.0
321,GrN7J-MDlYZ,True,Challenger,,,1.0,3922.0,1981-01-01,ss,alphanumeric,4.0,Conversion kit ,,,2018-03-11,2018-04-09,50,Geiger,Geiger-Automatenbau GMBH,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/3e15fe69-5677-4fb5-9edd-d8bb3aeb7df1-medium.jpg,https://img.opdb.org/3e15fe69-5677-4fb5-9edd-d8bb3aeb7df1-large.jpg,https://img.opdb.org/3e15fe69-5677-4fb5-9edd-d8bb3aeb7df1-small.jpg,472.0,433.0,472.0,433.0,250.0,229.0
322,G4jXW-MQdrN,True,Diamond Lady,,,1.0,678.0,1988-02-01,ss,alphanumeric,4.0,,,,2018-03-11,2018-04-01,2,Gottlieb,D. Gottlieb & Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/c5ef9148-919e-41e1-87eb-72bb96334a72-medium.jpg,https://img.opdb.org/c5ef9148-919e-41e1-87eb-72bb96334a72-large.jpg,https://img.opdb.org/c5ef9148-919e-41e1-87eb-72bb96334a72-small.jpg,640.0,515.0,746.0,600.0,250.0,201.0
323,G4dvX-MQKOo,True,Double Barrel,,,1.0,709.0,1961-08-01,em,reels,2.0,,,,2018-03-11,2018-05-12,7,Williams,"Williams Electronic Games, Inc.",2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/93fed3e0-1197-4c24-b65a-c58d09a6517b-medium.jpg,https://img.opdb.org/93fed3e0-1197-4c24-b65a-c58d09a6517b-large.jpg,https://img.opdb.org/93fed3e0-1197-4c24-b65a-c58d09a6517b-small.jpg,640.0,590.0,667.0,615.0,250.0,231.0
324,GrPKO-MLO5X,True,Playboy,,PB,1.0,4506.0,2002-01-01,ss,dmd,4.0,,,,2018-03-11,2018-03-18,12,Stern,"Stern Pinball, Inc.",2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/2ae2f7d0-dd9b-40d0-99c3-940bb65c1e1a-medium.jpg,https://img.opdb.org/2ae2f7d0-dd9b-40d0-99c3-940bb65c1e1a-large.jpg,https://img.opdb.org/2ae2f7d0-dd9b-40d0-99c3-940bb65c1e1a-small.jpg,640.0,462.0,832.0,600.0,250.0,180.0
325,G5By3-MJw55,True,Wood's Queen (4P),,,1.0,5425.0,1976-01-01,em,reels,4.0,,,,2018-03-11,2018-05-02,11,Zaccaria,Zaccaria,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/38d314a5-8362-40d8-a802-0e24b29e8774-medium.jpg,https://img.opdb.org/38d314a5-8362-40d8-a802-0e24b29e8774-large.jpg,https://img.opdb.org/38d314a5-8362-40d8-a802-0e24b29e8774-small.jpg,640.0,549.0,700.0,600.0,250.0,214.0
326,G5nbz-MLeY1,True,Vacation America,,,1.0,4848.0,2003-10-29,ss,alphanumeric,1.0,Home model ,,,2018-03-11,2018-03-18,3,Chicago Coin,Chicago Coin Machine Mfg. Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/4d8fd50f-e19a-4fe3-8bec-c8b9dcc83763-medium.jpg,https://img.opdb.org/4d8fd50f-e19a-4fe3-8bec-c8b9dcc83763-large.jpg,https://img.opdb.org/4d8fd50f-e19a-4fe3-8bec-c8b9dcc83763-small.jpg,494.0,600.0,494.0,600.0,206.0,250.0
327,G4qln-MDbq6,True,Speed Rush,,,1.0,4125.0,1975-01-01,em,reels,1.0,,,,2018-03-11,2018-05-07,66,Playmec Flippers,Playmec Flippers,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/08795e45-9e95-42ad-9425-c1c798db6b7e-medium.jpg,https://img.opdb.org/08795e45-9e95-42ad-9425-c1c798db6b7e-large.jpg,https://img.opdb.org/08795e45-9e95-42ad-9425-c1c798db6b7e-small.jpg,298.0,300.0,298.0,300.0,248.0,250.0
328,G5Qwv-MQ2jK,True,Double Action,,,1.0,707.0,1958-12-01,em,reels,2.0,,,,2018-03-11,2018-05-13,2,Gottlieb,D. Gottlieb & Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/13d39444-5ac1-4421-a745-fca8c425ff9b-medium.jpg,https://img.opdb.org/13d39444-5ac1-4421-a745-fca8c425ff9b-large.jpg,https://img.opdb.org/13d39444-5ac1-4421-a745-fca8c425ff9b-small.jpg,640.0,480.0,640.0,480.0,250.0,188.0
329,G5vqv-MJN3K,True,Nostalgia,,,1.0,4564.0,1977-01-01,ss,alphanumeric,2.0,,,,2018-03-11,2018-05-01,16,Sega,"Sega Pinball, Inc. (US)",2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/60bbdfcd-f634-4cb5-a8c5-9187e55fd1ed-medium.jpg,https://img.opdb.org/60bbdfcd-f634-4cb5-a8c5-9187e55fd1ed-large.jpg,https://img.opdb.org/60bbdfcd-f634-4cb5-a8c5-9187e55fd1ed-small.jpg,640.0,580.0,662.0,600.0,250.0,227.0
330,GrEDX-ML0We,True,Elite Guard,,,1.0,780.0,1968-02-01,em,reels,1.0,Add-a-ball ,,,2018-03-11,2018-05-09,2,Gottlieb,D. Gottlieb & Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/f78a0523-93b4-416f-8dd7-a0e35db3a641-medium.jpg,https://img.opdb.org/f78a0523-93b4-416f-8dd7-a0e35db3a641-large.jpg,https://img.opdb.org/f78a0523-93b4-416f-8dd7-a0e35db3a641-small.jpg,600.0,622.0,600.0,622.0,241.0,250.0
331,Gr3qw-MQjYp,True,King Tut,,,1.0,1378.0,1969-12-01,em,reels,1.0,Replay ,,,2018-03-11,2018-05-08,8,Bally,Bally Manufacturing Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/3a8ecaa0-1b8f-4c88-b8fe-13d65fb45eaf-medium.jpg,https://img.opdb.org/3a8ecaa0-1b8f-4c88-b8fe-13d65fb45eaf-large.jpg,https://img.opdb.org/3a8ecaa0-1b8f-4c88-b8fe-13d65fb45eaf-small.jpg,465.0,491.0,465.0,491.0,237.0,250.0
332,G4en0-MJ5vB,True,Bobby Orr's Power Play,,BOPP,1.0,1858.0,1977-02-24,ss,alphanumeric,4.0,,,,2018-03-11,2018-03-24,8,Bally,Bally Manufacturing Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/d3491110-3988-462d-b328-7b014058e540-medium.jpg,https://img.opdb.org/d3491110-3988-462d-b328-7b014058e540-large.jpg,https://img.opdb.org/d3491110-3988-462d-b328-7b014058e540-small.jpg,640.0,512.0,750.0,600.0,250.0,200.0
333,G4xlK-MJp6z,True,Lovers,,,1.0,4112.0,1979-01-01,em,reels,1.0,Conversion kit ,,,2018-03-11,2018-04-22,6,Mondialmatic,Mondialmatic,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/6d3fb826-5739-4d99-b34d-9f5d5f7f2c8b-medium.jpg,https://img.opdb.org/6d3fb826-5739-4d99-b34d-9f5d5f7f2c8b-large.jpg,https://img.opdb.org/6d3fb826-5739-4d99-b34d-9f5d5f7f2c8b-small.jpg,600.0,570.0,600.0,570.0,250.0,238.0
334,GRQkJ-MDxpK,True,Dragonfist,,,1.0,731.0,1982-01-01,ss,alphanumeric,4.0,,,,2018-03-11,2018-04-09,12,Stern,"Stern Pinball, Inc.",2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/ba1962a7-187f-4c6e-98c2-32ea49c1d440-medium.jpg,https://img.opdb.org/ba1962a7-187f-4c6e-98c2-32ea49c1d440-large.jpg,https://img.opdb.org/ba1962a7-187f-4c6e-98c2-32ea49c1d440-small.jpg,640.0,543.0,707.0,600.0,250.0,212.0
335,Gr88w-MQPp9,True,Gay 90's,,G90S,1.0,989.0,1970-01-01,em,reels,4.0,,,,2018-03-11,2018-05-08,7,Williams,"Williams Electronic Games, Inc.",2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/062f9c70-5057-490c-b043-f91197a8a98e-medium.jpg,https://img.opdb.org/062f9c70-5057-490c-b043-f91197a8a98e-large.jpg,https://img.opdb.org/062f9c70-5057-490c-b043-f91197a8a98e-small.jpg,320.0,297.0,320.0,297.0,250.0,232.0
336,G5p1j-MJ9zW,True,Easy Aces,,,1.0,754.0,1955-12-01,em,lights,1.0,,,,2018-03-11,2018-05-13,2,Gottlieb,D. Gottlieb & Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/58ef09e7-712c-42d9-b267-b38ea31ec86f-medium.jpg,https://img.opdb.org/58ef09e7-712c-42d9-b267-b38ea31ec86f-large.jpg,https://img.opdb.org/58ef09e7-712c-42d9-b267-b38ea31ec86f-small.jpg,626.0,640.0,800.0,818.0,244.0,250.0
337,GRVld-MDE3l,True,Elektra,,,1.0,778.0,1981-03-24,ss,alphanumeric,4.0,,,,2018-03-11,2018-04-09,8,Bally,Bally Manufacturing Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/aa8eea5a-283b-4d11-b713-b9cf0aa2aa7e-medium.jpg,https://img.opdb.org/aa8eea5a-283b-4d11-b713-b9cf0aa2aa7e-large.jpg,https://img.opdb.org/aa8eea5a-283b-4d11-b713-b9cf0aa2aa7e-small.jpg,640.0,481.0,798.0,600.0,250.0,188.0
338,GRvvl-MLBzn,True,Palisades,,,1.0,1738.0,1953-07-01,em,lights,1.0,,,,2018-03-11,2018-05-14,7,Williams,"Williams Electronic Games, Inc.",2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/a73106aa-0c70-4066-ae88-cb1ff790e58e-medium.jpg,https://img.opdb.org/a73106aa-0c70-4066-ae88-cb1ff790e58e-large.jpg,https://img.opdb.org/a73106aa-0c70-4066-ae88-cb1ff790e58e-small.jpg,549.0,567.0,549.0,567.0,242.0,250.0
339,Gr8jd-MLyxK,True,Silver Slugger,,,1.0,2152.0,1990-02-01,ss,alphanumeric,4.0,,street-level ,,2018-03-11,2018-03-23,2,Gottlieb,D. Gottlieb & Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/2792c1d3-6cb9-44ce-9b86-85e28e7743bf-medium.jpg,https://img.opdb.org/2792c1d3-6cb9-44ce-9b86-85e28e7743bf-large.jpg,https://img.opdb.org/2792c1d3-6cb9-44ce-9b86-85e28e7743bf-small.jpg,545.0,600.0,545.0,600.0,227.0,250.0
340,G4XD3-MQk3l,True,Take Five,,,1.0,2492.0,1978-01-04,ss,alphanumeric,2.0,Cocktail table ,,,2018-03-11,2018-04-21,49,Allied Leisure,"Allied Leisure Industries, Inc.",2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/515396ef-7a90-4dcf-ba13-bec06b46619a-medium.jpg,https://img.opdb.org/515396ef-7a90-4dcf-ba13-bec06b46619a-large.jpg,https://img.opdb.org/515396ef-7a90-4dcf-ba13-bec06b46619a-small.jpg,526.0,600.0,526.0,600.0,219.0,250.0
341,GrX7q-MLWkn,True,Centaur,,,1.0,476.0,1981-02-03,ss,alphanumeric,4.0,,,,2018-03-11,2018-04-08,8,Bally,Bally Manufacturing Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/56ca7757-773d-48a6-85ec-cf570c5c9b5d-medium.jpg,https://img.opdb.org/56ca7757-773d-48a6-85ec-cf570c5c9b5d-large.jpg,https://img.opdb.org/56ca7757-773d-48a6-85ec-cf570c5c9b5d-small.jpg,640.0,462.0,831.0,600.0,250.0,181.0
342,G4j8k-MDlYy,True,PlayMates,,,1.0,1828.0,1968-12-01,em,reels,1.0,Add-a-ball ,,,2018-03-11,2018-05-09,2,Gottlieb,D. Gottlieb & Co.,2018-03-11,2018-03-11,,Backglass,1.0,backglass,https://img.opdb.org/e8702113-cbdc-4267-8218-24c29d61a8e0-medium.jpg,https://img.opdb.org/e8702113-cbdc-4267-8218-24c29d61a8e0-large.jpg,https://img.opdb.org/e8702113-cbdc-4267-8218-24c29d61a8e0-small.jpg,594.0,640.0,741.0,799.0,231.0,250.0
